brand,title,image,price,link,description,category
Zooni,Hand Embroidered Qalamkar Shawl - Royal Blue,https://zooni.co.uk/cdn/shop/files/55_64db85e9-2f19-43e7-853d-e90f8c3c2ec9.jpg?v=1714004938,1800.00,https://zooni.co.uk/collections/qalamkar/products/hand-embroidered-qalamkar-shawl-royal-blue,"This stunning piece of pashmina screams royalty!If there's one piece of a gorgeous handmade pashmina you want to own, this should be it. A gorgeous blue base paired with silver embroidery makes this shawl an instant head turner. Match it with complementary colors and watch your outfit pop like anything!Featuring the traditional royal motifs of birds and peacocks, this piece is a statement.Design: Signature qalamkar hand-embroidered designCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Sozni Shawl,https://zooni.co.uk/cdn/shop/files/45.jpg?v=1713795223,800.00,https://zooni.co.uk/collections/sozni/products/hand-embroidered-sozni-shawl-2,"Look at the drape of this handmade shawl!Sure to be a head-turner, this beautiful handmade shawl crafted on a pure pashmina base has delicate Sozni embroidery throughout. A gorgeous blue color with contrasting embroidery gives it a royal appeal. This shawl can be a special addition to your wardrobe.Design: Sozni hand embroideryCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 45x90 inchesHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Sozni Shawl - Jaama,https://zooni.co.uk/cdn/shop/files/Untitleddesign_3.jpg?v=1714002900,1850.00,https://zooni.co.uk/collections/sozni/products/hand-embroidered-sozni-shawl-jaama,"This handmade shawl, crafted on a soft and lightweight pure pashmina base, features one of the most delicate and sophisticated styles of embroidery - the jaama. Embroidered with the thinnest needle, this shawl features an exquisite embroidery that really speaks volumes about the skills of the Kashmiri artisans who have spent months completing this master piece.A revered possession, a sozni jaama is a special addition to any wardrobe.Design: Sozni hand embroideryCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Woven Plain Shawl - Stripes,https://zooni.co.uk/cdn/shop/files/113_44c65117-09a9-4a7f-8bf0-db9378df0e19.jpg?v=1714006984,300.00,https://zooni.co.uk/collections/plain-handwoven-pashmina/products/hand-woven-plain-shawl-stripes-3,"Embrace the classic elegance of this pashmina shawl, distinguished by its sophisticated striped pattern. Expertly crafted from the finest pashmina wool, this shawl is celebrated for its exceptional softness, warmth, and lightweight feel, making it a luxurious choice for any wardrobe.The shawl features a series of elegant stripes that run along its length and enhance its overall appeal. The stripes are precisely spaced, creating a balanced visual effect that is both striking and refined. The interplay of colors and the crisp lines lend a contemporary edge to the timeless beauty of pashmina.Perfect for any occasion, this striped pashmina shawl offers versatility and style. It can be draped elegantly over the shoulders or wrapped snugly for a cozier feel, making it an ideal accessory for both formal and casual settings. Whether paired with a formal gown or a casual ensemble, this shawl adds a touch of sophistication and a layer of warmth, effortlessly elevating any outfit.Design: Plain shawl with stripesCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Qalamkar Shawl - Paisleys,https://zooni.co.uk/cdn/shop/files/80_472297eb-0524-4078-9418-8f60105d5b6d.jpg?v=1714005684,1550.00,https://zooni.co.uk/collections/qalamkar/products/hand-embroidered-qalamkar-shawl-paisleys-1,"This handcrafted pashmina can be a perfect addition to your wardrobe, as it features traditional Kashmiri paisleys in a qalamkar design. The recurrent motifs on the shawl, combined with multicolor design, make this an instant eye-turner. The blues and reds in this piece give it a catchy appeal.Design: Signature qalamkar hand-embroidered designCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Sozni Shawl - Purmattan Jaama,https://zooni.co.uk/cdn/shop/files/82.jpg?v=1713795146,2150.00,https://zooni.co.uk/collections/sozni/products/hand-embroidered-sozni-shawl-purmattan-jaama,"The Jaama style of embroidery features shawlsthat are so closely filled filled-inwithfine embroiderythat it barely allows any ground fabric to be visible.This shawl has a pure pashmina base in black with contrasting delicate embroidery that covers the width and breadth of the shawl.Have a close look at the embroidery and you'll k now what makes this shawl a prized possession.﻿Design: Sozni hand embroideryCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Sozni Shawl - Purmattan Jaama,https://zooni.co.uk/cdn/shop/files/92.jpg?v=1713795119,2500.00,https://zooni.co.uk/collections/sozni/products/hand-embroidered-sozni-shawl-purmattan-jaama-1,"The vibrant orange hues of this handmade shawl make it a head-turner, for sure!The Jaama style of embroidery features shawlsthat are so closely filled with fine embroiderythat they barely allow any ground fabric to be visible.This shawl has a pure pashmina base in black with contrasting delicate embroidery that covers the width and breadth of the shawl.Have a close look at the embroidery, and you'll know what makes this shawl a prized possession.﻿Design: Sozni hand embroideryCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Qalamkar Shawl - Black,https://zooni.co.uk/cdn/shop/files/117.jpg?v=1713795390,2150.00,https://zooni.co.uk/collections/qalamkar/products/hand-embroidered-qalamkar-shawl-black,"Black is the one color that you can never have enough of! And what better than a beautiful hand crafted, hand embroidered pashmina shawl in gorgeous black?This can be a perfect addition to your wardrobe, as this versatile black beauty can help transform your outfits instantly. This handmade shawl has striking contrast of reds and greens with the base color that adds an instant pop to the shawl. The geometric paisleys featured in this shawl are the classic Kashmiri design that you all love!Design: Signature qalamkar hand-embroidered designCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Qalamkar Shawl - Paisleys,https://zooni.co.uk/cdn/shop/files/135.jpg?v=1713795352,1550.00,https://zooni.co.uk/collections/qalamkar/products/hand-embroidered-qalamkar-shawl-paisleys,"A sophisticated handcrafted pashmina featuring traditional Kashmiri paisleysembodying elegance, versatility, and a timeless aesthetic. The lighter shades of beige and greyinvite a closer look, encouraging appreciation of the skill and artistry involved in the delicate hand embroidery. This understated beauty makes this shawl a versatile piece, suitable for various events without overshadowing the rest of an outfit. It can seamlessly blend with other pieces, enhancing the wearer's ensemble with a touch of sophistication, and is a headturner for sure!Design: Signature qalamkar hand-embroidered designCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
Zooni,Hand Embroidered Qalamkar Shawl - Royal Red,https://zooni.co.uk/cdn/shop/files/105.jpg?v=1713795427,1800.00,https://zooni.co.uk/collections/qalamkar/products/hand-embroidered-qalamkar-shawl-royal-red,"This stunning piece of pashmina screams royalty!If there's one piece of a gorgeous handmade pashmina you want to own, this should be it. A striking red base paired with gold and silver embroidery makes this shawl an instant head turner. Match it with lighter colors and watch your outfit pop like anything!Fetauring the traditional royal motifs of birds and peacocks, this piece is a statement.Design: Signature qalamkar hand-embroidered designCare: Professional cleaning is requiredMaterial: 100% Pashmina sourced from Ladakh, warm and lightweightSize: 100x200cmHandmade in Kashmir","['Shawl', 'Scarf', 'Stole', 'Pashmina', 'Kani', 'Kalamkari', 'Sozni', 'Plain Handwoven Pashmina']"
